accident_id,original_location,method,reason,latitude,longitude,matched_name
1448,Indefatigable,mountains_db,,40.3428,-105.6836,Indefatigable
1457,,no_match,no suitable match found,,,
1459,,no_match,no suitable match found,,,
1462,Kluane National Park,no_match,no suitable match found,,,
1463,,skipped,no location text,,,
1465,Henley Wall,no_match,no suitable match found,,,
1466,,skipped,no location text,,,
1485,Haffner Creek Canyon,no_match,no suitable match found,,,
1486,,skipped,no location text,,,
1495,"Analysis
A friend gave me a number of issues of Accidents in North American Mountain",no_match,no suitable match found,,,
1501,,no_match,no suitable match found,,,
1502,Brock,mountains_db,,40.3428,-105.6836,Brock
1506,Barrier Mountain,no_match,no suitable match found,,,
1522,,no_match,no suitable match found,,,
1560,,no_match,no suitable match found,,,
1562,,no_match,no suitable match found,,,
1572,,no_match,no suitable match found,,,
1578,in the North Drywood area between Waterton National Park,no_match,no suitable match found,,,
1582,Bald Mountain,no_match,no suitable match found,,,
1593,,no_match,no suitable match found,,,
1619,Shiprock is a popular climbing area located in the Grandfather Mountain,no_match,no suitable match found,,,
1631,Great Smokey Mountain National Park,no_match,no suitable match found,,,
1644,,no_match,no suitable match found,,,
1704,one thousand foot climb through the forested bottom of the Jones Creek Canyon,no_match,no suitable match found,,,
1718,,skipped,no location text,,,
1756,Spearfish Canyon,no_match,no suitable match found,,,
1757,Oak Creek Canyon,no_match,no suitable match found,,,
1779,Superintendent Wall,no_match,no suitable match found,,,
1794,Beauty Mountain,no_match,no suitable match found,,,
1809,s Wall,no_match,no suitable match found,,,
1820,,skipped,no location text,,,
1826,,no_match,no suitable match found,,,
1827,,no_match,no suitable match found,,,
1858,,no_match,no suitable match found,,,
1862,,skipped,no location text,,,
1869,,skipped,no location text,,,
1881,,no_match,no suitable match found,,,
1893,Red River Gorge Mountain,no_match,no suitable match found,,,
1904,Sandia Mountain,no_match,no suitable match found,,,
1911,,skipped,no location text,,,
1975,Yellowstone National Park,no_match,no suitable match found,,,
1976,Yellowstone National Park,no_match,no suitable match found,,,
2008,Waterton National Park,no_match,no suitable match found,,,
2019,,no_match,no suitable match found,,,
2021,South Face,routes_db,,40.3428,-105.6836,South Face
2040,Wicked Gravity Wall,no_match,no suitable match found,,,
2048,Indefatigable,mountains_db,,40.3428,-105.6836,Indefatigable
2056,East Face,routes_db,,40.3428,-105.6836,East Face
2059,,skipped,no location text,,,
2066,Source From a posting by Jason Halladay on Mountain,no_match,no suitable match found,,,
2079,Rainbow,mountains_db,,36.1357,-115.4274,Rainbow
