mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
56,Capitol,,14137.0,2331.0,peak,Elk Mountains,Colorado,39.1502,-107.0831,Capitol Peak,4
57,Castle,,,,unknown,,Alberta,51.4968,-115.9281,Castle Mountain,4
58,Endless,,,,unknown,,Virginia,38.0667,-81.0667,Endless Wall,4
59,Ha Ling,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,4
60,Chair,,,,unknown,,Washington,47.7511,-120.7401,Chair Peak,3
61,Tennessee,,,,unknown,,Tennessee,35.05,-85.35,Tennessee Wall,3
62,Weeping,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,3
63,Tammany,,,,unknown,,Delaware,,,A climber from another group contacted National Park,3
64,Cory,,,,unknown,,Alberta,51.4968,-115.9281,Banff National Park,3
65,Conness,,,,unknown,,California,37.8651,-119.5383,Yosemite National Park,3
66,Rainbow,,,,unknown,,Nevada,36.1357,-115.4274,Red Rocks Canyon,3
67,Buffalo,,,,unknown,,Ontario,45.3333,-76.1667,Buffalo Crag,3
68,Highlander,,,,unknown,,Colorado,39.7528,-105.3614,Clear Creek Canyon,3
69,Goat,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,3
70,Meeker,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,3
71,Dana,,,,unknown,,California,37.8651,-119.5383,Yosemite National Park,3
72,San,,,,unknown,,California,36.7783,-119.4179,Fatal Falls on Unusually Icy Peak,3
73,Shortoff,,,,unknown,,North Carolina,35.9517,-81.8517,Shortoff Mountain,3
74,Salathe,,,,unknown,,California,36.7783,-119.4179,was leading the 6th pitch of the Salathe Wall,3
75,Salathé,,,,unknown,,California,36.7783,-119.4179,Salathé Wall,3
76,Forbidden,,,,unknown,,Utah,37.2982,-113.0263,Zion National Park,3
77,Whyte,,,,unknown,,,40.3428,-105.6836,Rocky Mountain,3
78,Indefatigable,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,3
79,Johnson,,,,unknown,,Alaska,64.2008,-149.4937,Denali National Park,3
80,Exum,,,,unknown,,Wyoming,43.076,-107.2903,Exum Mountain,3
81,Assiniboine,,11870.0,4941.0,peak,Canadian Rockies,British Columbia,50.8667,-115.65,Rocky Mountains,3
82,Flattop,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,3
83,Snowdome,,,,unknown,,Alberta,52.8734,-117.9543,Jasper National Park,2
