mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
mt_b9e6ed3f,Pigeon,,,,unknown,,,50.7167,-116.7667,Pigeon Mountain,1
mt_a067c13c,Pikes,,,,unknown,,Colorado,39.5501,-105.7821,Pikes Peak,1
mt_7339867b,Boulderado,,,,unknown,,Colorado,40.015,-105.405,Boulder Canyon,1
mt_a6df3a5b,Bourgeau,,,,unknown,,Alberta,51.4968,-115.9281,Banff National Park,1
mt_1f0afb53,Breidablik,,,,unknown,,,,,Auyuittuq National Park,1
mt_cdbd33f4,Brooks,,,,unknown,,Alaska,63.1148,-151.1926,were visiting Denali National Park,1
mt_d86401b7,Buller,,,,unknown,,Alberta,53.9333,-116.5765,Rocky Mountains,1
mt_0fb27f18,Bumblebee,,,,unknown,,Utah,39.321,-111.0937,Big Cottonwood Canyon,1
mt_0c027c90,Bunk Bed,,,,unknown,,,,,6 route on the Bunk Bed Wall,1
mt_9a01312e,Burgess,,,,unknown,,British Columbia,51.45,-116.5,Yoho National Park,1
mt_1fdb97b7,Nublock,,,,unknown,,Alberta,53.9333,-116.5765,Rocky Mountains,1
mt_6bd62814,Oceanic,,,,unknown,,,,,Dream Canyon,1
mt_e72f4545,Office,,,,unknown,,Arizona,34.0489,-111.0937,s Office Mountain,1
mt_77ffbcea,Condor,,,,unknown,,California,36.7783,-119.4179,Condor Crag,1
mt_c75c2b1f,Corvallis,,,,unknown,,Washington,47.7511,-120.7401,a graduate student at Oregon State University and member of Corvallis Mountain,1
mt_1f203706,Cosmology,,,,unknown,,,40.3428,-105.6836,Rocky Mountain,1
mt_1c0bd3c8,Rambler,,,,unknown,,,,,Rambler Peak,1
mt_6ba8e145,Redoubt,,,,unknown,,,52.8734,-117.9543,Jasper National Park,1
mt_e41d0297,Revelstoke,,,,unknown,,British Columbia,,,Mount Revelstoke National Park,1
mt_02b61095,Ridge between Little Pawnee,,,,unknown,,Colorado,39.5501,-105.7821,Indian Peak,1
mt_d0e9c852,Ophir,,,,unknown,,Colorado,39.5501,-105.7821,Ophir Wall,1
mt_452d7713,Orange Sunshine,,,,unknown,,,,,Orange Sunshine Wall,1
mt_18b74c52,Orville,,,,unknown,,Alaska,64.2008,-149.4937,Glacier Bay National Park,1
mt_67c311cb,Oubliette,,,,unknown,,Alberta,52.8734,-117.9543,Jasper National Park,1
mt_130149b2,Ouray,,,,unknown,,Colorado,39.5501,-105.7821,the Ouray Mountain,1
mt_2924aff9,Painted,,,,unknown,,Colorado,39.5501,-105.7821,Black Canyon of the Gunnison National Park,1
mt_c4a03397,Paintings,,,,unknown,,Alberta,51.4968,-115.9281,Banff National Park,1
mt_2d99efd6,Palisade,,,,unknown,,British Columbia,50.2667,-117.2833,Selkirk Mountain,1
mt_de73807b,Parking Lot,,,,unknown,,New Hampshire,43.1939,-71.5724,Parking Lot Wall,1
mt_a13a75d9,Powell,,,,unknown,,Colorado,39.5501,-105.7821,,1
mt_8c40400c,Practice,,,,unknown,,Kentucky,,,located at the Practice Wall,1
mt_25c8fd75,Primo,,,,unknown,,Colorado,39.7528,-105.3614,Clear Creek Canyon,1
mt_86fd8102,Protection Pulled Out Ragged,,,,unknown,,,41.6333,-72.7833,Protection Pulled Out Ragged Mountain,1
mt_d4adec3c,Ptarmigan,,,,unknown,,Alaska,64.2008,-149.4937,Ptarmigan Peak,1
mt_437233c7,Pyramid,,,,unknown,,Colorado,39.5501,-105.7821,Pyramid Peak,1
mt_949ac1bd,Quandry,,,,unknown,,Colorado,39.5501,-105.7821,Quandry Mountain,1
mt_54818b05,Discovery,,,,unknown,,California,36.7783,-119.4179,Discovery Wall,1
mt_50c9b5e7,Division,,,,unknown,,,51.4968,-115.9281,Banff National Park,1
mt_8332c2ee,Dogwood,,,,unknown,,Utah,39.321,-111.0937,Big Cottonwood Canyon,1
mt_a5cacf8c,Dorr,,,,unknown,,Maine,44.3386,-68.2733,Acadia National Park,1
mt_fc502b37,Burstall,,,,unknown,,,,,,1
